COD;DESC;COMP;LARG;PESO
40000;ISOPAINEL 1F100 M2;1;1;1
40001;ISOPAINEL 1F100 - 2000MM;2;1,15;2,3
40002;ISOPAINEL 1F100 - 2100MM;2,1;1,15;2,415
40003;ISOPAINEL 1F100 - 2200MM;2,2;1,15;2,53
40004;ISOPAINEL 1F100 - 2300MM;2,3;1,15;2,645
40005;ISOPAINEL 1F100 - 2400MM;2,4;1,15;2,76
40006;ISOPAINEL 1F100 - 2500MM;2,5;1,15;2,875
40007;ISOPAINEL 1F100 - 2600MM;2,6;1,15;2,99
40008;ISOPAINEL 1F100 - 2700MM;2,7;1,15;3,105
40009;ISOPAINEL 1F100 - 2800MM;2,8;1,15;3,22
40010;ISOPAINEL 1F100 - 2900MM;2,9;1,15;3,335
40011;ISOPAINEL 1F100 - 3000MM;3;1,15;3,45
40012;ISOPAINEL 1F100 - 3100MM;3,1;1,15;3,565
40013;ISOPAINEL 1F100 - 3200MM;3,2;1,15;3,68
40014;ISOPAINEL 1F100 - 3300MM;3,3;1,15;3,795
40015;ISOPAINEL 1F100 - 3400MM;3,4;1,15;3,91
40016;ISOPAINEL 1F100 - 3500MM;3,5;1,15;4,025
40017;ISOPAINEL 1F100 - 3600MM;3,6;1,15;4,14
40018;ISOPAINEL 1F100 - 3700MM;3,7;1,15;4,255
40019;ISOPAINEL 1F100 - 3800MM;3,8;1,15;4,37
40020;ISOPAINEL 1F100 - 3900MM;3,9;1,15;4,485
40021;ISOPAINEL 1F100 - 4000MM;4;1,15;4,6
40022;ISOPAINEL 1F150 M2;1;1;1
40023;ISOPAINEL 1F150 - 2000MM;2;1,15;2,3
40024;ISOPAINEL 1F150 - 2100MM;2,1;1,15;2,415
40025;ISOPAINEL 1F150 - 2200MM;2,2;1,15;2,53
40026;ISOPAINEL 1F150 - 2300MM;2,3;1,15;2,645
40027;ISOPAINEL 1F150 - 2400MM;2,4;1,15;2,76
40028;ISOPAINEL 1F150 - 2500MM;2,5;1,15;2,875
40029;ISOPAINEL 1F150 - 2600MM;2,6;1,15;2,99
40030;ISOPAINEL 1F150 - 2700MM;2,7;1,15;3,105
40031;ISOPAINEL 1F150 - 2800MM;2,8;1,15;3,22
40032;ISOPAINEL 1F150 - 2900MM;2,9;1,15;3,335
40033;ISOPAINEL 1F150 - 3000MM;3;1,15;3,45
40034;ISOPAINEL 1F150 - 3100MM;3,1;1,15;3,565
40035;ISOPAINEL 1F150 - 3200MM;3,2;1,15;3,68
40036;ISOPAINEL 1F150 - 3300MM;3,3;1,15;3,795
40037;ISOPAINEL 1F150 - 3400MM;3,4;1,15;3,91
40038;ISOPAINEL 1F150 - 3500MM;3,5;1,15;4,025
40039;ISOPAINEL 1F150 - 3600MM;3,6;1,15;4,14
40040;ISOPAINEL 1F150 - 3700MM;3,7;1,15;4,255
40041;ISOPAINEL 1F150 - 3800MM;3,8;1,15;4,37
40042;ISOPAINEL 1F150 - 3900MM;3,9;1,15;4,485
40043;ISOPAINEL 1F150 - 4000MM;4;1,15;4,6
40044;ISOPAINEL 1F200 M2;1;1;1
40045;ISOPAINEL 1F200 - 2000MM;2;1,15;2,3
40046;ISOPAINEL 1F200 - 2100MM;2,1;1,15;2,415
40047;ISOPAINEL 1F200 - 2200MM;2,2;1,15;2,53
40048;ISOPAINEL 1F200 - 2300MM;2,3;1,15;2,645
40049;ISOPAINEL 1F200 - 2400MM;2,4;1,15;2,76
40050;ISOPAINEL 1F200 - 2500MM;2,5;1,15;2,875
40051;ISOPAINEL 1F200 - 2600MM;2,6;1,15;2,99
40052;ISOPAINEL 1F200 - 2700MM;2,7;1,15;3,105
40053;ISOPAINEL 1F200 - 2800MM;2,8;1,15;3,22
40054;ISOPAINEL 1F200 - 2900MM;2,9;1,15;3,335
40055;ISOPAINEL 1F200 - 3000MM;3;1,15;3,45
40056;ISOPAINEL 1F200 - 3100MM;3,1;1,15;3,565
40057;ISOPAINEL 1F200 - 3200MM;3,2;1,15;3,68
40058;ISOPAINEL 1F200 - 3300MM;3,3;1,15;3,795
40059;ISOPAINEL 1F200 - 3400MM;3,4;1,15;3,91
40060;ISOPAINEL 1F200 - 3500MM;3,5;1,15;4,025
40061;ISOPAINEL 1F200 - 3600MM;3,6;1,15;4,14
40062;ISOPAINEL 1F200 - 3700MM;3,7;1,15;4,255
40063;ISOPAINEL 1F200 - 3800MM;3,8;1,15;4,37
40064;ISOPAINEL 1F200 - 3900MM;3,9;1,15;4,485
40065;ISOPAINEL 1F200 - 4000MM;4;1,15;4,6
40066;ISOPAINEL 2F100 M2;1;1;1
40067;ISOPAINEL 2F100 - 2000MM;2;1,15;2,3
40068;ISOPAINEL 2F100 - 2100MM;2,1;1,15;2,415
40069;ISOPAINEL 2F100 - 2200MM;2,2;1,15;2,53
40070;ISOPAINEL 2F100 - 2300MM;2,3;1,15;2,645
40071;ISOPAINEL 2F100 - 2400MM;2,4;1,15;2,76
40072;ISOPAINEL 2F100 - 2500MM;2,5;1,15;2,875
40073;ISOPAINEL 2F100 - 2600MM;2,6;1,15;2,99
40074;ISOPAINEL 2F100 - 2700MM;2,7;1,15;3,105
40075;ISOPAINEL 2F100 - 2800MM;2,8;1,15;3,22
40076;ISOPAINEL 2F100 - 2900MM;2,9;1,15;3,335
40077;ISOPAINEL 2F100 - 3000MM;3;1,15;3,45
40078;ISOPAINEL 2F100 - 3100MM;3,1;1,15;3,565
40079;ISOPAINEL 2F100 - 3200MM;3,2;1,15;3,68
40080;ISOPAINEL 2F100 - 3300MM;3,3;1,15;3,795
40081;ISOPAINEL 2F100 - 3400MM;3,4;1,15;3,91
40082;ISOPAINEL 2F100 - 3500MM;3,5;1,15;4,025
40083;ISOPAINEL 2F100 - 3600MM;3,6;1,15;4,14
40084;ISOPAINEL 2F100 - 3700MM;3,7;1,15;4,255
40085;ISOPAINEL 2F100 - 3800MM;3,8;1,15;4,37
40086;ISOPAINEL 2F100 - 3900MM;3,9;1,15;4,485
40087;ISOPAINEL 2F100 - 4000MM;4;1,15;4,6
40088;ISOPAINEL 2F100 - 4100MM;4,1;1,15;4,715
40089;ISOPAINEL 2F100 - 4200MM;4,2;1,15;4,83
40090;ISOPAINEL 2F100 - 4300MM;4,3;1,15;4,945
40091;ISOPAINEL 2F100 - 4400MM;4,4;1,15;5,06
40092;ISOPAINEL 2F100 - 4500MM;4,5;1,15;5,175
40093;ISOPAINEL 2F100 - 4600MM;4,6;1,15;5,29
40094;ISOPAINEL 2F100 - 4700MM;4,7;1,15;5,405
40095;ISOPAINEL 2F100 - 4800MM;4,8;1,15;5,52
40096;ISOPAINEL 2F100 - 4900MM;4,9;1,15;5,635
40097;ISOPAINEL 2F100 - 5000MM;5;1,15;5,75
40098;ISOPAINEL 2F100 - 5100MM;5,1;1,15;5,865
40099;ISOPAINEL 2F100 - 5200MM;5,2;1,15;5,98
40100;ISOPAINEL 2F100 - 5300MM;5,3;1,15;6,095
40101;ISOPAINEL 2F100 - 5400MM;5,4;1,15;6,21
40102;ISOPAINEL 2F100 - 5500MM;5,5;1,15;6,325
40103;ISOPAINEL 2F100 - 5600MM;5,6;1,15;6,44
40104;ISOPAINEL 2F100 - 5700MM;5,7;1,15;6,555
40105;ISOPAINEL 2F100 - 5800MM;5,8;1,15;6,67
40106;ISOPAINEL 2F100 - 5900MM;5,9;1,15;6,785
40107;ISOPAINEL 2F100 - 6000MM;6;1,15;6,9
40108;ISOPAINEL 2F150 M2;1;1;1
40109;ISOPAINEL 2F150 - 2000MM;2;1,15;2,3
40110;ISOPAINEL 2F150 - 2100MM;2,1;1,15;2,415
40111;ISOPAINEL 2F150 - 2200MM;2,2;1,15;2,53
40112;ISOPAINEL 2F150 - 2300MM;2,3;1,15;2,645
40113;ISOPAINEL 2F150 - 2400MM;2,4;1,15;2,76
40114;ISOPAINEL 2F150 - 2500MM;2,5;1,15;2,875
40115;ISOPAINEL 2F150 - 2600MM;2,6;1,15;2,99
40116;ISOPAINEL 2F150 - 2700MM;2,7;1,15;3,105
40117;ISOPAINEL 2F150 - 2800MM;2,8;1,15;3,22
40118;ISOPAINEL 2F150 - 2900MM;2,9;1,15;3,335
40119;ISOPAINEL 2F150 - 3000MM;3;1,15;3,45
40120;ISOPAINEL 2F150 - 3100MM;3,1;1,15;3,565
40121;ISOPAINEL 2F150 - 3200MM;3,2;1,15;3,68
40122;ISOPAINEL 2F150 - 3300MM;3,3;1,15;3,795
40123;ISOPAINEL 2F150 - 3400MM;3,4;1,15;3,91
40124;ISOPAINEL 2F150 - 3500MM;3,5;1,15;4,025
40125;ISOPAINEL 2F150 - 3600MM;3,6;1,15;4,14
40126;ISOPAINEL 2F150 - 3700MM;3,7;1,15;4,255
40127;ISOPAINEL 2F150 - 3800MM;3,8;1,15;4,37
40128;ISOPAINEL 2F150 - 3900MM;3,9;1,15;4,485
40129;ISOPAINEL 2F150 - 4000MM;4;1,15;4,6
40130;ISOPAINEL 2F150 - 4100MM;4,1;1,15;4,715
