EQ102C;AMB1/2CVNR12220V;0.41;0.31;0.48;2.8; 
EQ103;E-8 MANUAL;0.35;0.37;0.75;2.7; 
EQ108C;DS983CNR12V220V;0.6;0.49;0.94;6.5; 
EQ110C;DS983CVNR12220V;0.6;0.49;0.94;6.5; 
EQ111C;SFO169NR12220V;0.9;0.62;0.67;6.4; 
EQ120C;BC22NR12220V;0.49;0.36;0.76;4; 
EQ125C;M61NR12220V;0.89;0.55;1.08;12.5; 
EQ127C;BC32SNR12220V;0.54;0.4;0.83;5.3; 
EQ133C;M61NR12110V;0.89;0.55;1.08;12.5; 
EQ140C;SFO282220V;2.1;1.1;1.23;4.4; 
EQ141C;SFO282220V;2.1;1.1;1.23;4.4; 
EQ160;E-8 P/INOX;0.35;0.37;0.75;2.7; 
EQ495C;BC10NR12220V;0.41;0.29;0.63;3; 
EQ496C;BC50BIVOLT;0.29;0.26;0.42;1.4; 
EQ497C;CAF/8 BIV;0.37;0.29;6.15;2.2; 
EQ016;SSG50;0.23;0.74;0.53;25.88; 
EQ018;SCG90;0.25;1.13;0.5;36.87; 
EQ020;SSE50220V;0.21;0.55;0.5;21.58; 
EQ020E;SSGP40;0.21;0.65;0.47;15.4; 
EQ021E;SCGP60;0.21;0.86;0.44;20.4; 
EQ022;CG50;0.23;0.74;0.53;21.8; 
EQ023;CGP40;0.21;0.65;0.47;12.25; 
EQ024;CG70;0.23;0.94;0.53;26.8; 
EQ025;CGP80;0.19;1.06;0.46;21.93; 
EQ025E;SCE90 220V;0.23;0.94;0.53;36.8; 
EQ026;CG90;0.25;1.13;0.5;31.8; 
EQ027E;SCGP80;0.19;1.06;0.46;25.85; 
EQ028;CG110;0.28;1.44;0.5;36.8; 
EQ030;CG130;0.21;0.55;0.5;41.8; 
EQ037;CGP60;0.21;0.86;0.44;16.93; 
EQ038E;CGB-80;0.25;1.1;0.64;28.48; 
EQ039E;CGB-100;0.25;1.32;0.64;34.48; 
EQ040E;CEP-60;0.21;0.65;0.47;18; 
EQ043;CE50220V;0.21;0.55;0.5;17.5; 
EQ044;CE90220V;0.23;0.94;0.53;32.72; 
EQ045E;CGP100;0.23;0.49;0.46;27.16; 
EQ047E;ECP6110V;0.39;0.91;0.41;13.03; 
EQ052E;EREVP6110V;0.63;0.53;0.5;13; 
EQ053E;EREVP9110V;0.84;0.53;0.5;15.84; 
EQ059E;EVCSS9110V;0.84;0.53;0.5;21.33; 
EQ060E;EVC9110V;0.84;0.53;0.5;21.33; 
EQ063E;CBR90;0.58;1.11;0.28;61.68; 
EQ225;CE110220V;0.25;1.13;0.5;39.22; 
EQ259;VCP61;0.39;0.62;0.41;11.9; 
EQ357E;EVC6110V;0.63;0.53;0.5;16.85; 
EQ402;SCG110;0.28;1.44;0.5;41.87; 
EQ410;CE70220V;0.23;0.74;0.53;26.25; 
EQ536E;CBRP70FF;0.58;0.91;0.28;48.15; 
EQ645E;CGB120;0.25;1.65;0.64;40.87; 
IC002G;GBUP075T;1.27;0.84;0.8;95; 
IC039G;GBSP140;1.27;1.5;0.8;135; 
IC040G;GEPV075 ;1.86;0.54;0.6;98; 
IC051G;MPNV140CZ;1.19;1.83;0.81;126; 
IC052G;MPNV175;1.19;0.92;0.78;145; 
IC053G;MPXV080;1.19;0.92;0.78;99; 
IC254G;GSTO130;2.11;1.4;1.1;238; 
IC255G;GSTO130;2.17;2.62;1.1;238; 
IC256G;GSHF240;2.11;1.4;1.1;452; 
IC257G;GSTO240;2.07;0.75;0.86;411; 
IC985G;GCPCD210 ;1.56;2.25;1.06;255; 
IC987G;GCPCD310 ;1.56;3.25;1.06;360; 
LB020G;GTPC575;1.19;1.5;0.81;104; 
LB021G;GTPC575;2.07;0.75;0.86;104; 
LB037 G;GRBA120PR;0.88;0.54;0.7;51; 
LB041 G;GRBA330;1.69;0.73;0.73;86; 
LB044G;GRBA120PVP;1.89;0.54;0.64;51; 
LB045G;GRBA330B;2.04;0.71;0.74;86; 
LB046G;GRBA230;1.89;0.54;0.64;77; 
LB143G;GRBA120B;0.88;0.54;0.7;44; 
LB144G;GRBA450B;2.06;2.49;0.97;104; 
LB213G;GRBA120;0.88;0.54;0.7;44; 
LB214G;GRBA120;0.88;0.54;0.7;44; 
LB215G;GPTU230;0.88;0.54;0.7;73; 
LB216G;GPTU230;1.86;0.54;0.6;73; 
LB217G;GRBA230PVA;1.69;0.73;0.73;79; 
LB218G;GRBA230;1.89;0.54;0.64;77; 
EQ040S;BMSN-NR12110V;0.54;0.25;0.23;4.9; 
EQ041S;BMSN-NR12220V;0.54;0.25;0.23;4.9; 
EQ042S;BMS3NR12220V;0.57;0.53;0.34;13.6; 
EQ092S;ESBSUPER220V;0.42;0.44;0.32;11.4; 
EQ245S;LT1.5N220VNR12220V;0.26;0.22;0.36;2.5; 
EQ247S;LI1.5N110V;0.26;0.36;0.22;2.6; 
EQ248S;LI1.5N220V;0.26;0.36;0.22;2.6; 
EQ260S;EXB-N110V;0.42;0.44;0.32;6.5; 
EQ261S;LS04MB-N220V;0.43;0.53;0.3;11; 
EQ262S;LS04MB-N110V;0.43;0.3;0.53;10.6; 
EQ264S;EXB-N220V;0.42;0.44;0.32;6.5; 
EQ265S;TA02-N900W 110V;0.31;0.37;0.23;3.2; 
EQ267S;FSC-N220V;1.05;0.53;0.55;18; 
EQ268S;LS06MB-N110V;0.47;0.53;0.3;11.3; 
EQ269S;LS08MB-N110V;0.52;0.54;0.33;11.7; 
EQ273S;LAR25LMB-N 110V;1.19;0.42;0.56;24; 
EQ274S;LAR15LMB-N 110V;1.08;0.38;0.56;23; 
EQ278;TA02-N900W 220V;0.31;0.37;0.23;3.2; 
EQ278S;LS06MB-N220V;0.47;0.53;0.3;11.3; 
EQ281S;LB15PMB-N 110V;1.08;0.38;0.56;23; 
EQ284S;LB15PMB-N 220V;1.08;0.38;0.56;23; 
EQ285S;FC-N220V;1.05;0.53;0.55;18; 
EQ290S;LS10MB-NINM110V;0.55;0.55;0.35;12; 
EQ291S;LS10MB-NINM220V;0.55;0.55;0.35;12; 
EQ296S;LTS1.5N 110V NR12;0.29;0.23;0.35;3.9; 
EQ297S;LTS1.5N 220V NR12;0.29;0.23;0.35;3.9; 
EQ298S;LVS1.5N 110V NR12;0.29;0.23;0.35;5.1; 
EQ323S;ESBSUPER110V;0.42;0.44;0.32;11.4; 
EQ372S;DB06-N 110V;0.63;0.41;0.41;22.5; 
EQ373S;DB06-N 220V;0.63;0.41;0.41;22.5; 
EQ379S;LS03MB-N220V;0.29;0.23;0.35;4.1; 
EQ380S;LS03MB-N110V;0.29;0.23;0.35;4.1; 
EQ399S;LS08MB-N220V;0.52;0.54;0.33;11.7; 
EQ400S;FC350-N 220V;0.72;0.85;0.79;64; 
EQ414S;DB10-N 220V;0.78;0.53;0.64;27; 
EQ415S;DB-25HD-N 220V;1.21;0.79;0.96;92; 
EQ416S;CC-25HD;0.47;0.51;0.55;13.65; 
EQ442S;PA-7 NR12 220V;0.57;0.4;0.57;25.6; 
EQ443S;PA-7 NR12 110V;0.57;0.4;0.57;25.6; 
EQ525S;LT1.5N110VNR12;0.26;0.22;0.36;2.5; 
EQ660S;CFI300LNR12110V;0.49;0.67;0.68;31.5; 
EQ661S;CFI300LNR12220V;0.49;0.67;0.68;31.5; 
EQ711S;TA04MB-N110V;0.47;0.53;0.31;6.4; 
EQ712S;LT20SUPER-N110V;0.37;0.32;0.46;5.75; 
EQ713S;LT2.0SUPER-N220V;0.37;0.32;0.46;5.75; 
EQ714S;TA04MB-N220V;0.47;0.53;0.31;6.4; 
EQ738S;ABS220V;0.49;0.31;0.53;27; 
EQ970S;LB25PMB-N220V;1.19;0.42;0.56;24; 
EQ971S;PS-10220V;0.48;0.42;0.73;40; 
EQ972S;CR-4LN220V;0.52;0.33;0.38;20.5; 
EQ973S;LIS 1.5N220V;0.29;0.23;0.35;4.1; 
EQ974S;BPS-05N220V;0.47;0.29;0.44;12.8; 
EQ975S;LB25MB 220V;1.19;0.42;0.56;24; 
EQ976S;LIS 1.5N110V;0.29;0.23;0.35;4.1; 
EQ977S;PS-22220V;0.48;0.42;0.81;50; 
EQ978S;PS-22110V;0.48;0.42;0.81;50; 
EQ979S;LB25MB 110V;1.19;0.42;0.56;24; 
BB014G;RA100;1.17;0.75;0.67;63; 
EP004G;FTG300GAS;1.88;1.11;1.39;310; 
EP008G;FTG240GAS;1.88;1.11;1.39;300; 
EP010G;AM05;0.73;0.53;0.67;52; 
EP012G;FTE150E;0.88;1.11;1.41;195; 
EP027G;CZ15;1.24;0.7;0.68;75; 
EP028G;CZ37;1.53;0.74;0.94;155; 
EP029G;CZ22;1.53;0.74;0.94;122; 
EP031G;AM15;0.93;0.61;0.7;50; 
EP045G;MFP80;1.04;0.33;0.44;28; 
EP047G;CSP600;1.83;1.2;1;465; 
EP052G;CC1000;2.2;1.04;1.82;350; 
EP070G;AE60L;1.5;0.72;1.31;313; 
EP071G;AE80L;1.68;0.89;1.4;583; 
EP102;DV30/1;0.59;0.69;0.93;90; 
EP102G;AM25;0.93;0.61;0.7;55; 
EP106G;BP38C;1.19;0.96;0.8;208; 
EP107G;AR25;0.8;0.7;1;150; 
EP108G;CS500;1.83;0.83;1;210; 
EP109G;ARC25;0.8;0.7;1;143; 
EP110G;AE25L;1.25;0.59;1.08;190; 
EP111G;MPS500;1.17;0.9;0.9;140; 
EP112G;AE40L;1.42;0.72;1.31;300; 
EP114G;AE15L;1.15;0.59;1.08;152; 
EP118G;FP12S;1.52;0.65;0.87;102; 
EP121G;BP18C;0.84;0.52;0.96;109; 
EP124G;MPS350;1.17;0.75;0.9;120; 
EP125G;MPS250;0.58;0.68;0.9;80; 
EP127G;AR15;0.84;0.64;0.86;80; 
EP128G;AE10L;0.82;0.51;0.97;75; 
EP130G;AE15L;1.15;0.59;1.08;155; 
EP131G;MPS350;1.17;0.75;0.9;120; 
EP132G;CS500;1.83;0.83;1;210; 
EP134G;AME05/15;0.73;0.53;0.67;61; 
EP135G;BP18CSS;0.84;0.52;0.96;109; 
EP136G;BP5RP;0.66;0.28;0.52;37; 
EP138G;AE05L;0.69;0.42;0.82;68; 
EP139G;MFP80;1.04;0.33;0.44;28; 
EP145G;BP5RP;0.66;0.28;0.52;37; 
EP146G;CS500;1.83;0.83;1;210; 
EP147G;FP12S;1.52;0.65;0.87;102; 
EP148G;BP12RP;0.82;0.39;0.72;50; 
EP161G;AE05L;0.69;0.42;0.82;68; 
EP162G;DC04;0.53;0.42;0.81;33; 
EP163G;AM25;0.93;0.61;0.7;55; 
EP233G;CS450;1.74;0.74;1.04;134; 
EP234G;CL390;0.68;0.63;0.89;70; 
EP235G;CL390;0.68;0.63;0.89;70; 
EP236G;CL390;0.68;0.63;0.89;70; 
EP237G;CS390;0.73;0.68;0.75;68; 
EQ424;RQ15;0.51;0.34;0.61;26; 
EQ425;RQ15;0.51;0.34;0.61;26; 
EQ469B;BK300I1 INOX;0.18;0.49;0.87;20; 
EP057I;5249;2;0.77;0.45;12; 
EP064I;2847;0.2;1.9;0.7;30; 
EP066I;2848;0.2;1.2;0.7;22; 
EP067I;2849;0.2;1.5;0.7;28; 
EP068I;2850;0.2;1.9;0.7;28; 
