738;8.00;39.00;39.00;5.60;Botini
754;7.00;20.00;57.00;0.70;Botini
765;20.00;24.00;41.00;2.90;Botini
818;20.00;24.00;41.00;3.60;Botini
829;22.00;27.00;42.00;8.30;Botini
863;22.00;27.00;42.00;14.50;Botini
899;35.00;20.00;39.00;4.50;Botini
934;32.00;21.00;40.00;3.90;Botini
967;35.00;20.00;39.00;4.60;Botini
1040;20.00;24.00;41.00;3.60;Botini
1066;24.00;18.00;19.00;2.40;Botini
1079;35.00;20.00;39.00;5.80;Botini
1115;28.00;28.00;29.00;7.90;Botini
1148;58.00;22.00;23.00;3.80;Botini
1172;75.00;25.00;26.00;5.60;Botini
1191;32.00;21.00;27.00;3.50;Botini
1231;33.00;23.00;27.00;5.20;Botini
1270;69.00;40.00;92.00;42.30;Botini
1381;88.00;45.00;60.00;43.20;Botini
1446;69.00;40.00;92.00;48.00;Botini
1528;88.00;45.00;60.00;48.00;Botini
1537;83.00;49.00;107.00;82.80;Botini
1633;26.00;30.00;52.00;11.00;Botini
1634;26.00;30.00;52.00;11.00;Botini
1636;83.00;50.00;120.00;89.70;Botini
1637;83.00;49.00;107.00;82.00;Botini
1639;83.00;50.00;120.00;88.00;Botini
1640;7.00;20.00;57.00;2.20;Botini
1641;7.00;20.00;57.00;3.60;Botini
1643;29.00;26.00;34.00;9.80;Botini
1644;29.00;26.00;34.00;13.70;Botini
1645;29.00;26.00;46.00;16.00;Botini
1646;38.00;44.00;57.00;19.60;Botini
1647;44.00;41.00;43.00;15.30;Botini
1648;92.00;46.00;62.00;21.30;Botini
1649;43.00;29.00;54.00;17.30;Botini
1650;92.00;46.00;62.00;13.20;Botini
1651;33.00;17.00;17.00;1.60;Botini
1652;32.00;21.00;34.00;6.20;Botini
1653;96.00;32.00;46.00;10.60;Botini
1654;24.00;27.00;35.00;14.90;Botini
2303;22.00;23.00;31.00;8.30;Botini
4021;31.00;21.00;44.00;7.50;Botini
4306;93.00;50.00;80.00;72.00;Botini
4307;93.00;50.00;80.00;72.00;Botini
4308;93.00;50.00;80.00;70.00;Botini
4309;93.00;50.00;80.00;70.00;Botini
4310;69.00;43.00;91.00;72.00;Botini
4311;69.00;43.00;91.00;72.00;Botini
4312;69.00;43.00;91.00;70.00;Botini
4313;69.00;43.00;91.00;70.00;Botini
4314;93.00;54.00;114.00;113.00;Botini
4315;93.00;54.00;114.00;113.00;Botini
4316;93.00;54.00;114.00;113.00;Botini
4317;93.00;54.00;114.00;113.00;Botini
4764;30.00;22.00;49.00;8.10;Botini
4878;83.00;52.00;62.00;29.80;Botini
CAF 05;29.00;26.00;41.50;1.4;Caf
CAF 09 E 10;41.00;29.00;62.50;3.00;Caf
CAF 22 E 22 STB;49.00;36.00;75.50;4.00;Caf
MINI HG 22;65.00;47.50;107.50;8.2;Caf
CAF 98;60.00;48.50;93.50;6.5;Caf
CAF 32 S;54.00;39.50;82.50;5.3;Caf
CAF AMB;41.00;31.00;48.00;2.8;Caf
CAF E-8;34.50;36.50;74.50;2.7;Caf
CAF E-5;28.00;30.00;63.50;2.8;Caf
CAF 106C/114D;120.00;78.50;135.50;20.4;Caf
CAF M180;120.00;78.50;135.50;20.4;Caf
CAF 120/121;120.00;78.50;135.50;20.4;Caf
