EQ010C         ;3634;0.32;0.83;1.08;52
EQ011C         ;3830;0.32;0.83;1.14;77
EQ097C         ;17444;0.24;0.60;1.22;46
EQ195C         ;16231;0.24;0.60;1.22;46
EQ196C         ;10938;0.24;0.60;1.22;46
EQ197C         ;10331;0.32;0.83;1.43;117
EQ198C         ;10339;0.32;0.83;1.43;117
EQ199C         ;10935;0.24;0.60;1.22;46
EQ264C         ;6331;0.32;0.83;1.43;117
EQ265C         ;6431;0.32;0.83;1.43;117
EQ266C         ;5231;0.32;0.83;1.43;117
EQ267C         ;5331;0.32;0.83;1.43;117
EQ268C         ;5431;0.32;0.83;1.43;117
EQ269C         ;5631;0.32;0.83;1.43;117
EQ303C         ;3234;0.32;0.50;0.75;23 
EQ304C         ;15234;0.24;0.60;1.22;46
EQ305C         ;10932;0.32;0.65;1.56;44
EQ306C         ;3444;0.32;0.83;1.08;54
EQ307C         ;15434;0.24;0.60;1.22;46
EQ308C         ;9945;0.32;0.83;1.43;117
EQ309C         ;10934;0.24;0.60;1.22;46
EQ311C         ;503830;0.24;0.60;1.22;46
EQ312C         ;10650;0.32;0.83;1.43;117
EQ313C         ;10800;0.32;0.83;1.43;117
EQ314C         ;11650;0.24;0.60;1.22;46
EQ315C         ;11800;0.24;0.60;1.22;46
EQ316C         ;3235;0.32;0.50;0.75;46
EQ317C         ;9967;0.32;0.83;1.43;117
EQ318C         ;1234;0.00;0.00;0.00;0.00
EQ319C         ;17643;0.24;0.60;1.22;46
EQ320C         ;10949;0.24;0.60;1.22;46
MVI001C        ;5070;0.32;0.83;1.43;117
EQ001 V        ;M2;0.35;1.20;0.76;56.00
EQ067V         ;FFV20;1.85;1.00;0.59;112.90
EQ077V         ;E74D2;0.34;1.15;0.93;68.00
EQ082          ;M6D6;0.36;1.72;1.25;137.00
EQ084V         ;SGF2;1.71;1.13;0.56;98.00
EQ085          ;SGF3;1.71;1.13;0.56;106.50
EQ086V         ;FIRIDI110;0.69;1.28;1.10;147.70
EQ087          ;M6FD6;0.38;1.75;1.27;139.00
EQ088          ;VAPI4;0.33;0.86;0.95;49.00
EQ094V         ;CG90;0.42;1.00;0.86;98.00
EQ095V         ;C80;0.32;0.90;0.64;48.80
EQ098V         ;E76D3;0.33;1.25;0.98;72.00
EQ103V         ;VAP3P;0.32;1.15;0.59;40.60
EQ105V         ;M2PD2;0.35;1.20;0.76;56.00
EQ106V         ;MAP1P;0.35;0.90;0.77;33.70
EQ107V         ;MAP2P;0.34;1.20;0.77;56.00
EQ122V         ;CG60 -;0.41;0.93;0.73;77.00
EQ124V         ;CG90;0.42;1.00;0.86;98.00
EQ125V         ;CG120;0.38;1.34;0.94;119.00
EQ133V         ;C65;0.31;0.76;0.64;41.40
EQ134V         ;C120;0.32;1.30;0.64;69.10
EQ136V         ;MI6D3;0.38;2.20;1.27;154.00
EQ338V         ;FIRI110;0.68;1.27;1.10;147.00
EQ356          ;VAP1P;0.34;0.73;0.58;26.40
EQ398V         ;FCDB7E;1.01;1.18;0.96;186.80
EQ424V         ;VAP6;0.34;1.17;0.86;60.00
EQ431V         ;BR4BF;0.88;0.91;0.90;83.90
EQ432V         ;BR4B;0.88;0.92;0.90;56.40
EQ483V         ;FDB6M;0.40;0.98;0.82;64.00
EQ484V         ;VAP2P;0.34;0.82;0.53;31.00
EQ547V         ;FA6P;0.22;0.98;0.76;64.00
EQ548V         ;FA6P;0.22;0.98;0.76;64.00
EQ680V         ;FIRI60;0.69;0.74;0.71;61.00
EQ681V         ;FIRI90;0.69;1.08;0.77;89.60
EQ907V         ;FAOAP30;1.00;0.61;0.61;35.90
EQ911V         ;F50MI;0.75;0.65;0.61;21.40
EQ913V         ;P30SG;0.20;0.44;0.36;6.30
EQ914V         ;C140;0.33;1.53;0.64;80.10
EQ917V         ;S95CG;0.19;0.97;0.44;13.70
EQ918V         ;BRFPPR;0.70;0.78;0.86;52.60
EQ919V         ;BRFPVR;0.70;0.78;0.86;52.60
EQ920V         ;FC4EM;0.54;0.74;0.60;38.00
EQ921V         ;CG120;0.38;1.34;0.94;119.00
EQ923V         ;FDB6F;1.05;1.03;0.92;151.30
EQ924V         ;VAP4;0.34;0.90;0.78;48.40
EQ925V         ;FIRIDI90;0.90;1.07;0.77;113.00
EQ926V         ;FIRIDS90;0.90;1.07;0.77;89.00
EQ927V         ;TGG;0.30;0.48;0.58;5.10
LB210F         ;VCFM431 2V000;2.08;0.67;0.67;117.00
LB211F         ;VCFM402 2V999;1.89;0.70;0.85;99.00
LB224F         ;VCFC565 2C023;2.07;0.70;0.85;108.00
LB226F         ;VCED565 2V023;2.07;0.84;0.85;121.00
LB228F         ;VCFC431 2V019;2.06;0.70;0.69;96.00
LB229F         ;VCFC284 2V052;1.87;0.56;0.69;81.00
LB230F         ;VCFC431 2C000;2.06;7.00;0.69;96.00
LB231F         ;VCFC284 2C000;1.87;0.56;0.69;78.00
