EQ102C;AMB1/2CVNR12220V;41;31;48;2.8;0.06
EQ103;E-8 MANUAL;34.5;36.5;74.5;2.7;0.09
EQ108C;DS983CNR12V220V;60;48.5;93.5;6.5;0.27
EQ110C;DS983CVNR12220V;60;48.5;93.5;6.5;0.27
EQ111C;SFO169NR12220V;89.5;62;66.5;6.4;0.37
EQ120C;BC22NR12220V;49;36;75.5;4;0.13
EQ125C;M61NR12220V;89;54.5;107.5;12.5;0.52
EQ127C;BC32SNR12220V;54;39.5;82.5;5.3;0.18
EQ133C;M61NR12110V;89;54.5;107.5;12.5;0.52
EQ140C;SFO282220V;210;110;123;4.4;2.84
EQ141C;SFO282220V;210;110;123;4.4;2.84
EQ160;E-8 P/INOX;34.5;36.5;74.5;2.7;0.09
EQ495C;BC10NR12220V;41;29;62.5;3;0.07
EQ496C;BC50BIVOLT;29;26;41.5;1.4;0.03
EQ497C;CAF/8 BIV;36.5;29;615;2.2;0.07
EQ016;SSG50;23;74;53;25.88;0.09
EQ018;SCG90;25;113;50;36.87;0.14
EQ020;SSE50220V;21;55.3;49.5;21.58;0.06
EQ020E;SSGP40;21;65;47;15.4;0.06
EQ021E;SCGP60;21;86;44;20.4;0.08
EQ022;CG50;23;74;53;21.8;0.09
EQ023;CGP40;21;65;47;12.25;0.06
EQ024;CG70;23;94;53;26.8;0.11
EQ025;CGP80;19;106;46;21.93;0.09
EQ025E;SCE90 220V;23;94;53;36.8;0.11
EQ026;CG90;25;113;50;31.8;0.14
EQ027E;SCGP80;19;106;46;25.85;0.09
EQ028;CG110;28;144;50;36.8;0.2
EQ030;CG130;21;55.3;49.5;41.8;0.06
EQ037;CGP60;21;86;44;16.93;0.08
EQ038E;CGB-80;25;110;63.5;28.48;0.17
EQ039E;CGB-100;25;132;63.5;34.48;0.21
EQ040E;CEP-60;21;65;47;18;0.06
EQ043;CE50220V;21;55.3;49.5;17.5;0.06
EQ044;CE90220V;23;94;53;32.72;0.11
EQ045E;CGP100;23;49;46;27.16;0.05
EQ047E;ECP6110V;38.5;91;40.5;13.03;0.14
EQ052E;EREVP6110V;63;52.5;50;13;0.17
EQ053E;EREVP9110V;84;52.5;50;15.84;0.22
EQ059E;EVCSS9110V;84;52.5;50;21.33;0.22
EQ060E;EVC9110V;84;52.5;50;21.33;0.22
EQ063E;CBR90;58;111;27.5;61.68;0.18
EQ225;CE110220V;25;113;50;39.22;0.14
EQ259;VCP61;38.5;62;40.5;11.9;0.1
EQ357E;EVC6110V;63;52.5;50;16.85;0.17
EQ402;SCG110;28;144;50;41.87;0.2
EQ410;CE70220V;23;74;53;26.25;0.09
EQ536E;CBRP70FF;58;91;27.5;48.15;0.15
EQ645E;CGB120;25;164.5;63.5;40.87;0.26
IC002G;GBUP075T;127;84;80;95;0.85
IC039G;GBSP140;127;150;80;135;1.52
IC040G;GEPV075 ;186.2;54.1;59.6;98;0.6
IC051G;MPNV140CZ;118.6;183;81;126;1.76
IC052G;MPNV175;118.6;92;78;145;0.85
IC053G;MPXV080;118.6;92;78;99;0.85
IC254G;GSTO130;211;140;110;238;3.25
IC255G;GSTO130;217;262;110;238;6.25
IC256G;GSHF240;211;140;110;452;3.25
IC257G;GSTO240;207;74.5;85.5;411;1.32
IC985G;GCPCD210 ;155.5;225;106;255;3.71
IC987G;GCPCD310 ;155.5;325;106;360;5.36
LB020G;GTPC575;118.6;150;81;104;1.44
LB021G;GTPC575;207;74.5;85.5;104;1.32
LB037 G;GRBA120PR;88.4;54;70;51;0.33
LB041 G;GRBA330;168.5;72.5;72.5;86;0.89
LB044G;GRBA120PVP;188.8;54;64;51;0.65
LB045G;GRBA330B;204;71;74;86;1.07
LB046G;GRBA230;188.8;54;64;77;0.65
LB143G;GRBA120B;88.4;54;70;44;0.33
LB144G;GRBA450B;206;249;97;104;4.98
LB213G;GRBA120;88.4;54;70;44;0.33
LB214G;GRBA120;88.4;54;70;44;0.33
LB215G;GPTU230;88.4;54;70;73;0.33
LB216G;GPTU230;186.2;54.1;59.6;73;0.6
LB217G;GRBA230PVA;168.5;72.5;72.5;79;0.89
LB218G;GRBA230;188.8;54;64;77;0.65
EQ040S;BMSN-NR12110V;54;24.5;23;4.9;0.03
EQ041S;BMSN-NR12220V;54;24.5;23;4.9;0.03
EQ042S;BMS3NR12220V;56.5;52.5;34;13.6;0.1
EQ092S;ESBSUPER220V;42;44;32;11.4;0.06
EQ245S;LT1.5N220VNR12220V;26;22;36;2.5;0.02
EQ247S;LI1.5N110V;26;36;22;2.6;0.02
EQ248S;LI1.5N220V;26;36;22;2.6;0.02
EQ260S;EXB-N110V;42;44;32;6.5;0.06
EQ261S;LS04MB-N220V;42.5;52.5;30;11;0.07
EQ262S;LS04MB-N110V;42.5;30;52.5;10.6;0.07
EQ264S;EXB-N220V;42;44;32;6.5;0.06
EQ265S;TA02-N900W 110V;31;37;22.5;3.2;0.03
EQ267S;FSC-N220V;105;53;55;18;0.31
EQ268S;LS06MB-N110V;47;52.5;30;11.3;0.07
EQ269S;LS08MB-N110V;52;54;32.5;11.7;0.09
EQ273S;LAR25LMB-N 110V;119;42;56;24;0.28
EQ274S;LAR15LMB-N 110V;108;38;56;23;0.23
EQ278;TA02-N900W 220V;31;37;22.5;3.2;0.03
EQ278S;LS06MB-N220V;47;52.5;30;11.3;0.07
EQ281S;LB15PMB-N 110V;108;38;56;23;0.23
EQ284S;LB15PMB-N 220V;108;38;56;23;0.23
EQ285S;FC-N220V;105;53;55;18;0.31
EQ290S;LS10MB-NINM110V;55;54.5;34.5;12;0.1
EQ291S;LS10MB-NINM220V;55;54.5;34.5;12;0.1
EQ296S;LTS1.5N 110V NR12;29;22.5;35;3.9;0.02
EQ297S;LTS1.5N 220V NR12;29;22.5;35;3.9;0.02
EQ298S;LVS1.5N 110V NR12;29;22.5;35;5.1;0.02
EQ323S;ESBSUPER110V;42;44;32;11.4;0.06
EQ372S;DB06-N 110V;63;41;41;22.5;0.11
EQ373S;DB06-N 220V;63;41;41;22.5;0.11
EQ379S;LS03MB-N220V;29;22.5;35;4.1;0.02
EQ380S;LS03MB-N110V;29;22.5;35;4.1;0.02
EQ399S;LS08MB-N220V;52;54;32.5;11.7;0.09
EQ400S;FC350-N 220V;72;85;79;64;0.48
EQ414S;DB10-N 220V;78;53;64;27;0.26
EQ415S;DB-25HD-N 220V;121;79;96;92;0.92
EQ416S;CC-25HD;46.5;51;55;13.65;0.13
EQ442S;PA-7 NR12 220V;57;40;57;25.6;0.13
EQ443S;PA-7 NR12 110V;57;40;57;25.6;0.13
EQ525S;LT1.5N110VNR12;26;22;36;2.5;0.02
EQ660S;CFI300LNR12110V;49;67;68;31.5;0.22
EQ661S;CFI300LNR12220V;49;67;68;31.5;0.22
EQ711S;TA04MB-N110V;47;52.5;30.5;6.4;0.08
EQ712S;LT20SUPER-N110V;37;31.5;45.5;5.75;0.05
EQ713S;LT2.0SUPER-N220V;37;31.5;45.5;5.75;0.05
EQ714S;TA04MB-N220V;47;52.5;30.5;6.4;0.08
EQ738S;ABS220V;49;31;52.5;27;0.08
EQ970S;LB25PMB-N220V;119;42;56;24;0.28
EQ971S;PS-10220V;47.5;41.5;73;40;0.14
EQ972S;CR-4LN220V;52;33;38;20.5;0.07
EQ973S;LIS 1.5N220V;29;22.5;35;4.1;0.02
EQ974S;BPS-05N220V;47;29;44;12.8;0.06
EQ975S;LB25MB 220V;119;42;56;24;0.28
EQ976S;LIS 1.5N110V;29;22.5;35;4.1;0.02
EQ977S;PS-22220V;47.5;41.5;81;50;0.16
EQ978S;PS-22110V;47.5;41.5;81;50;0.16
EQ979S;LB25MB 110V;119;42;56;24;0.28
BB014G;RA100;1170;750;670;63;0.59
EP004G;FTG300GAS;1880;1110;1390;310;2.9
EP008G;FTG240GAS;1880;1110;1390;300;2.9
EP010G;AM05;730;530;670;52;0.26
EP012G;FTE150E;880;1110;1410;195;1.38
EP027G;CZ15;1240;700;680;75;0.59
EP028G;CZ37;1530;740;940;155;1.06
EP029G;CZ22;1530;740;940;122;1.06
EP031G;AM15;930;610;700;50;0.4
EP045G;MFP80;1040;330;440;28;0.15
EP047G;CSP600;1830;1200;1000;465;2.2
EP052G;CC1000;2200;1040;1820;350;4.16
EP070G;AE60L;1500;720;1310;313;1.41
EP071G;AE80L;1680;890;1400;583;2.09
