2094;2093;0;0;0;0;0
28096;4;0;0;0;0;0
40840;ESTRUTURA METALICA;0;0;0;0;0
BB001FB        ;B25 220V          ;0;0;0;0;0
BB002FB        ;B50 220V          ;0;0;0;0;0
BB003FB        ;B25 127V          ;0;0;0;0;0
BB004L         ;50010025;0.52;0.31;0.44;10.8;0.07
BB006R         ;BAG200L 110V      ;1.48;1.45;0.86;90;1.85
BB008R         ;BAG100L 220V      ;1.48;0.85;0.86;69;1.08
BB009R         ;BAG200L 220V      ;1.48;1.45;0.86;90;1.85
BB014G         ;RA100 220V        ;1.17;0.75;0.67;63;0.59
BB031          ;50010003;1;0.29;0.38;12.4;0.11
BB055          ;50010022;1.08;0.34;0.36;14.9;0.13
BB106 L        ;50010021;1.08;0.7;0.33;18;0.25
BB127R         ;BAG100L 110V      ;1.48;0.85;0.86;69;1.08
BB128K         ;K25 INOX 110V     ;0;0;0;0;0
BB129K         ;K100L 220V        ;0;0;0;0;0
BB130K         ;K100L 110V        ;0;0;0;0;0
BB131K         ;K25 INOX 220V     ;0;0;0;0;0
BB157C         ;RACO-16 110V      ;0.64;0.37;0.63;21;0.15
BB158C         ;RDACO-26 110V     ;0.64;0.65;0.7;37;0.29
BB159C         ;RDACO-26 220V     ;0.64;0.65;0.7;37;0.29
BB160C         ;RACO-26 220V      ;0.64;0.37;0.63;21;0.15
BB160V         ;RAI10 220V        ;0;0;0;0;0
BB161V         ;RBI10 110V        ;1.61;0.58;0.8;62.9;0.75
BB162V         ;RBI10 220V        ;1.61;0.58;0.8;62.9;0.75
BB165V         ;RBI20 127V        ;0;0;0;0;0
BB166V         ;RBI20 220V        ;0;0;0;0;0
BB169V         ;RV116 220V        ;0.72;0.24;0.52;17.4;0.09
BB170V         ;RV116 110V        ;0.72;0.24;0.52;17.4;0.09
BB171V         ;RV216 110V        ;0.73;0.45;0.52;25.8;0.17
BB172V         ;RV216 220V        ;0.73;0.45;0.52;25.8;0.17
BB530          ;50010002;1;0.29;0.38;12.4;0.11
BB555 L        ;50010023;1.08;0.34;0.36;14.9;0.13
ECO-634        ;ECO-634           ;0;0;0;0;0
EG0012CR       ;ADG04 PR MT 127V  ;0;0;0;0;0
EG001CM        ;WSB40E 220V       ;0;0;0;0;0
EG001CR        ;ADG46D 220V       ;0;0;0;0;0
EG001NI        ;GAVETA            ;0;0;0;0;0
EG002CM        ;32.30.0057        ;0;0;0;0;0
EG002CR        ;ADG77D 220V       ;0;0;0;0;0
EG002HG        ;HG4B STYLE PREMIUM;0;0;0;0;0
EG003CM        ;02.04.0994        ;0;0;0;0;0
EG003CR        ; FRIGO03-G3 220V  ;0;0;0;0;0
EG003HG        ;HG2BS SMART       ;0;0;0;0;0
EG004CM        ;02.04.0995        ;0;0;0;0;0
EG004CR        ;ADG20D 220V       ;0;0;0;0;0
