IC441P;;2.4;2.08;0.82;246
LB431P;;1.97;1.15;0.67;165
IC480P;;1.5;1.51;0.83;140
IC483P;;1.48;2.16;0.87;163
IC485P;;1.14;2.05;0.86;145
IC486P;;1.58;2.4;0.82;184
IC494P;;0.8;0.9;0.67;53
IC496P;;2.35;1.99;0.69;315
LB432P;;1.97;1.725;0.67;247.5
IC507P;;2.22;2.08;0.68;252
IC508P;;2.22;1.58;0.68;204
LB434P;;1.9;0.58;0.71;103
IC527P;;0.8;1.1;0.67;53
IC528P;;2.22;2.08;0.68;252
IC529P;;1.34;1.46;0.665;145
IC530P;;1.34;1.16;0.665;120
IC531P;;1.34;1.16;0.665;115
IC532P;;1.34;1.16;0.665;120
IC533P;;1.37;1.41;0.665;89
IC556P;;2.35;1.66;0.69;214
IC073P;;1.34;1.36;0.665;126
IC071P;;1.34;1.46;0.665;140
IC228P;;1.48;2.16;0.87;163
IC558P;;2.22;1.58;0.68;204
IC559P;;2.22;3.08;0.68;321
IC660P;;1.34;1.41;0.665;91
IC661P;;1.25;0.95;0.72;74
IC662P;;1.34;1.41;0.66;78
IC663P;;1.317;0.96;0.665;66
IC664P;;1.48;2.16;0.87;163
IC665P;;1.48;2.16;0.87;173
IC666P;;1.317;1.66;0.665;101
IC667P;;1.317;1.96;0.665;116
IC668P;;1.34;1.36;0.665;126
IC669P;;1.34;1.36;0.665;121
IC672P;;2.35;1.86;0.94;325
IC674P;;1.317;1.16;0.665;75.5
IC675P;;1.14;1.65;0.86;127
IC676P;;2.22;2.08;0.68;252
IC681P;;2.4;2.08;0.82;246
IC682P;;2.22;2.08;0.68;252
IC683P;;2.22;2.08;0.68;252
IC685P;;1.317;1.66;0.665;101
